"AGE","TIME","UNIT","SEX","GEO","Value","Flag and Footnotes"
"Less than 5 years","2007W21","Number","Total","Belgium","12",""
"Less than 5 years","2007W22","Number","Total","Belgium","20",""
"Less than 5 years","2007W23","Number","Total","Belgium","11",""
"Less than 5 years","2007W24","Number","Total","Belgium","12",""
"Less than 5 years","2007W25","Number","Total","Belgium","6",""
"Less than 5 years","2007W26","Number","Total","Belgium","8",""
"Less than 5 years","2007W27","Number","Total","Belgium","8",""
"Less than 5 years","2007W28","Number","Total","Belgium","20",""
"Less than 5 years","2007W29","Number","Total","Belgium","18",""
"Less than 5 years","2007W30","Number","Total","Belgium","4",""
"Less than 5 years","2007W31","Number","Total","Belgium","12",""
"Less than 5 years","2007W32","Number","Total","Belgium","9",""
"Less than 5 years","2007W33","Number","Total","Belgium","12",""
"Less than 5 years","2007W34","Number","Total","Belgium","12",""
"Less than 5 years","2007W35","Number","Total","Belgium","16",""
"Less than 5 years","2007W36","Number","Total","Belgium","15",""
"Less than 5 years","2007W37","Number","Total","Belgium","13",""
"Less than 5 years","2007W38","Number","Total","Belgium","9",""
"Less than 5 years","2007W39","Number","Total","Belgium","14",""
"Less than 5 years","2007W40","Number","Total","Belgium","7",""
"Less than 5 years","2007W41","Number","Total","Belgium","10",""
"Less than 5 years","2007W42","Number","Total","Belgium","13",""
"Less than 5 years","2007W43","Number","Total","Belgium","7",""
"Less than 5 years","2007W44","Number","Total","Belgium","13",""
"Less than 5 years","2007W45","Number","Total","Belgium","19",""
"Less than 5 years","2007W46","Number","Total","Belgium","12",""
"Less than 5 years","2007W47","Number","Total","Belgium","11",""
"Less than 5 years","2007W48","Number","Total","Belgium","11",""
"Less than 5 years","2007W49","Number","Total","Belgium","12",""
"Less than 5 years","2007W50","Number","Total","Belgium","8",""
"Less than 5 years","2007W51","Number","Total","Belgium","14",""
"Less than 5 years","2007W52","Number","Total","Belgium","5",""
"Less than 5 years","2007W99","Number","Total","Belgium",":",""
"Less than 5 years","2008W01","Number","Total","Belgium","7",""
"Less than 5 years","2008W02","Number","Total","Belgium","12",""
"Less than 5 years","2008W03","Number","Total","Belgium","18",""
"Less than 5 years","2008W04","Number","Total","Belgium","14",""
"Less than 5 years","2008W05","Number","Total","Belgium","9",""
"Less than 5 years","2008W06","Number","Total","Belgium","10",""
"Less than 5 years","2008W07","Number","Total","Belgium","10",""
"Less than 5 years","2008W08","Number","Total","Belgium","14",""
"Less than 5 years","2008W09","Number","Total","Belgium","6",""
"Less than 5 years","2008W10","Number","Total","Belgium","8",""
"Less than 5 years","2008W11","Number","Total","Belgium","19",""
"Less than 5 years","2008W12","Number","Total","Belgium","17",""
"Less than 5 years","2008W13","Number","Total","Belgium","15",""
"Less than 5 years","2008W14","Number","Total","Belgium","8",""
"Less than 5 years","2008W15","Number","Total","Belgium","13",""
"Less than 5 years","2008W16","Number","Total","Belgium","10",""
"Less than 5 years","2008W17","Number","Total","Belgium","9",""
"Less than 5 years","2008W18","Number","Total","Belgium","9",""
"Less than 5 years","2008W19","Number","Total","Belgium","10",""
"Less than 5 years","2008W20","Number","Total","Belgium","11",""
"Less than 5 years","2008W21","Number","Total","Belgium","11",""
"Less than 5 years","2008W22","Number","Total","Belgium","4",""
"Less than 5 years","2008W23","Number","Total","Belgium","16",""
"Less than 5 years","2008W24","Number","Total","Belgium","14",""
"Less than 5 years","2008W25","Number","Total","Belgium","15",""
"Less than 5 years","2008W26","Number","Total","Belgium","8",""
"Less than 5 years","2008W27","Number","Total","Belgium","8",""
"Less than 5 years","2008W28","Number","Total","Belgium","7",""
"Less than 5 years","2008W29","Number","Total","Belgium","9",""
"Less than 5 years","2008W30","Number","Total","Belgium","11",""
"Less than 5 years","2008W31","Number","Total","Belgium","13",""
"Less than 5 years","2008W32","Number","Total","Belgium","7",""
"Less than 5 years","2008W33","Number","Total","Belgium","10",""
"Less than 5 years","2008W34","Number","Total","Belgium","11",""
"Less than 5 years","2008W35","Number","Total","Belgium","9",""
"Less than 5 years","2008W36","Number","Total","Belgium","7",""
